model,environment,epoch,eval_return
DECISION TRANSFORMER,acrobot,10,-500.0
DECISION TRANSFORMER,acrobot,20,-500.0
DECISION TRANSFORMER,acrobot,30,-499.9
DECISION TRANSFORMER,acrobot,40,-500.0
DECISION TRANSFORMER,acrobot,50,-500.0
DECISION TRANSFORMER,acrobot,60,-500.0
DECISION TRANSFORMER,acrobot,70,-500.0
DECISION TRANSFORMER,acrobot,80,-500.0
DECISION TRANSFORMER,acrobot,90,-500.0
DECISION TRANSFORMER,acrobot,100,-500.0
DECISION TRANSFORMER,acrobot,110,-500.0
DECISION TRANSFORMER,acrobot,120,-500.0
DECISION TRANSFORMER,acrobot,130,-500.0
DECISION TRANSFORMER,acrobot,140,-500.0
DECISION TRANSFORMER,acrobot,150,-500.0
DECISION TRANSFORMER,acrobot,160,-500.0
DECISION TRANSFORMER,acrobot,170,-500.0
DECISION TRANSFORMER,acrobot,180,-500.0
DECISION TRANSFORMER,acrobot,190,-441.1
DECISION TRANSFORMER,acrobot,200,-378.6
DECISION TRANSFORMER,acrobot,210,-327.4
DECISION TRANSFORMER,acrobot,220,-316.1
DECISION TRANSFORMER,acrobot,230,-358.9
DECISION TRANSFORMER,acrobot,240,-402.5
DECISION TRANSFORMER,acrobot,250,-304.1
DECISION TRANSFORMER,acrobot,260,-373.3
DECISION TRANSFORMER,acrobot,270,-260.7
DECISION TRANSFORMER,acrobot,280,-244.2
DECISION TRANSFORMER,acrobot,290,-216.0
DECISION TRANSFORMER,acrobot,300,-219.1
DECISION TRANSFORMER,acrobot,310,-209.3
DECISION TRANSFORMER,acrobot,320,-198.7
DECISION TRANSFORMER,acrobot,330,-228.0
DECISION TRANSFORMER,acrobot,340,-189.1
DECISION TRANSFORMER,acrobot,350,-171.3
DECISION TRANSFORMER,acrobot,360,-208.9
DECISION TRANSFORMER,acrobot,370,-180.0
DECISION TRANSFORMER,acrobot,380,-213.5
DECISION TRANSFORMER,acrobot,390,-279.7
DECISION TRANSFORMER,acrobot,400,-216.6
DECISION TRANSFORMER,acrobot,410,-263.2
DECISION TRANSFORMER,acrobot,420,-246.0
DECISION TRANSFORMER,acrobot,430,-261.0
DECISION TRANSFORMER,acrobot,440,-327.9
DECISION TRANSFORMER,acrobot,450,-314.7
DECISION TRANSFORMER,acrobot,460,-286.1
DECISION TRANSFORMER,acrobot,470,-294.6
DECISION TRANSFORMER,acrobot,480,-312.6
DECISION TRANSFORMER,acrobot,490,-345.0
DECISION TRANSFORMER,acrobot,500,-366.2
DECISION TRANSFORMER,acrobot,510,-348.2
DECISION TRANSFORMER,acrobot,520,-385.2
DECISION TRANSFORMER,acrobot,530,-341.7
DECISION TRANSFORMER,acrobot,540,-379.1
DECISION TRANSFORMER,acrobot,550,-407.5
DECISION TRANSFORMER,acrobot,560,-436.8
DECISION TRANSFORMER,acrobot,570,-412.5
DECISION TRANSFORMER,acrobot,580,-414.0
DECISION TRANSFORMER,acrobot,590,-349.8
DECISION TRANSFORMER,acrobot,600,-423.5
DECISION TRANSFORMER,acrobot,610,-320.0
DECISION TRANSFORMER,acrobot,620,-323.6
DECISION TRANSFORMER,acrobot,630,-361.1
DECISION TRANSFORMER,acrobot,640,-368.9
DECISION TRANSFORMER,acrobot,650,-329.6
DECISION TRANSFORMER,acrobot,660,-351.0
DECISION TRANSFORMER,acrobot,670,-354.4
DECISION TRANSFORMER,acrobot,680,-353.9
DECISION TRANSFORMER,acrobot,690,-312.5
DECISION TRANSFORMER,acrobot,700,-350.9
DECISION TRANSFORMER,acrobot,710,-375.4
DECISION TRANSFORMER,acrobot,720,-407.9
DECISION TRANSFORMER,acrobot,730,-377.4
DECISION TRANSFORMER,acrobot,740,-394.5
DECISION TRANSFORMER,acrobot,750,-381.7
DECISION TRANSFORMER,acrobot,760,-393.0
DECISION TRANSFORMER,acrobot,770,-349.0
DECISION TRANSFORMER,acrobot,780,-377.9
DECISION TRANSFORMER,acrobot,790,-394.7
DECISION TRANSFORMER,acrobot,800,-432.1
DECISION TRANSFORMER,acrobot,810,-385.8
DECISION TRANSFORMER,acrobot,820,-412.5
DECISION TRANSFORMER,acrobot,830,-418.4
DECISION TRANSFORMER,acrobot,840,-440.4
DECISION TRANSFORMER,acrobot,850,-425.3
DECISION TRANSFORMER,acrobot,860,-421.1
DECISION TRANSFORMER,acrobot,870,-400.5
DECISION TRANSFORMER,acrobot,880,-418.5
DECISION TRANSFORMER,acrobot,890,-466.6
DECISION TRANSFORMER,acrobot,900,-435.3
DECISION TRANSFORMER,acrobot,910,-416.2
DECISION TRANSFORMER,acrobot,920,-456.2
DECISION TRANSFORMER,acrobot,930,-468.6
DECISION TRANSFORMER,acrobot,940,-466.4
DECISION TRANSFORMER,acrobot,950,-465.9
DECISION TRANSFORMER,acrobot,960,-492.1
DECISION TRANSFORMER,acrobot,970,-457.5
DECISION TRANSFORMER,acrobot,980,-488.9
DECISION TRANSFORMER,acrobot,990,-426.3
DECISION TRANSFORMER,acrobot,1000,-448.5
DECISION TRANSFORMER,cartpole,10,9.4
DECISION TRANSFORMER,cartpole,20,9.3
DECISION TRANSFORMER,cartpole,30,9.4
DECISION TRANSFORMER,cartpole,40,9.3
DECISION TRANSFORMER,cartpole,50,9.1
DECISION TRANSFORMER,cartpole,60,9.2
DECISION TRANSFORMER,cartpole,70,9.7
DECISION TRANSFORMER,cartpole,80,9.5
DECISION TRANSFORMER,cartpole,90,9.3
DECISION TRANSFORMER,cartpole,100,9.2
DECISION TRANSFORMER,cartpole,110,9.3
DECISION TRANSFORMER,cartpole,120,9.4
DECISION TRANSFORMER,cartpole,130,9.7
DECISION TRANSFORMER,cartpole,140,9.7
DECISION TRANSFORMER,cartpole,150,9.3
DECISION TRANSFORMER,cartpole,160,9.4
DECISION TRANSFORMER,cartpole,170,9.3
DECISION TRANSFORMER,cartpole,180,9.7
DECISION TRANSFORMER,cartpole,190,9.6
DECISION TRANSFORMER,cartpole,200,9.4
DECISION TRANSFORMER,cartpole,210,9.2
DECISION TRANSFORMER,cartpole,220,9.2
DECISION TRANSFORMER,cartpole,230,9.2
DECISION TRANSFORMER,cartpole,240,9.4
DECISION TRANSFORMER,cartpole,250,9.3
DECISION TRANSFORMER,cartpole,260,9.4
DECISION TRANSFORMER,cartpole,270,9.3
DECISION TRANSFORMER,cartpole,280,9.6
DECISION TRANSFORMER,cartpole,290,9.3
DECISION TRANSFORMER,cartpole,300,9.1
DECISION TRANSFORMER,cartpole,310,9.2
DECISION TRANSFORMER,cartpole,320,9.5
DECISION TRANSFORMER,cartpole,330,9.2
DECISION TRANSFORMER,cartpole,340,9.7
DECISION TRANSFORMER,cartpole,350,9.2
DECISION TRANSFORMER,cartpole,360,9.2
DECISION TRANSFORMER,cartpole,370,9.7
DECISION TRANSFORMER,cartpole,380,8.9
DECISION TRANSFORMER,cartpole,390,9.1
DECISION TRANSFORMER,cartpole,400,9.1
DECISION TRANSFORMER,cartpole,410,9.2
DECISION TRANSFORMER,cartpole,420,9.0
DECISION TRANSFORMER,cartpole,430,9.7
DECISION TRANSFORMER,cartpole,440,9.3
DECISION TRANSFORMER,cartpole,450,9.5
DECISION TRANSFORMER,cartpole,460,9.0
DECISION TRANSFORMER,cartpole,470,9.3
DECISION TRANSFORMER,cartpole,480,9.1
DECISION TRANSFORMER,cartpole,490,9.6
DECISION TRANSFORMER,cartpole,500,9.2
DECISION TRANSFORMER,cartpole,510,9.4
DECISION TRANSFORMER,cartpole,520,9.1
DECISION TRANSFORMER,cartpole,530,9.3
DECISION TRANSFORMER,cartpole,540,9.4
DECISION TRANSFORMER,cartpole,550,9.8
DECISION TRANSFORMER,cartpole,560,9.4
DECISION TRANSFORMER,cartpole,570,9.0
DECISION TRANSFORMER,cartpole,580,9.2
DECISION TRANSFORMER,cartpole,590,9.7
DECISION TRANSFORMER,cartpole,600,9.8
DECISION TRANSFORMER,cartpole,610,8.9
DECISION TRANSFORMER,cartpole,620,9.4
DECISION TRANSFORMER,cartpole,630,9.1
DECISION TRANSFORMER,cartpole,640,9.7
DECISION TRANSFORMER,cartpole,650,8.7
DECISION TRANSFORMER,cartpole,660,9.2
DECISION TRANSFORMER,cartpole,670,8.8
DECISION TRANSFORMER,cartpole,680,9.0
DECISION TRANSFORMER,cartpole,690,9.1
DECISION TRANSFORMER,cartpole,700,9.4
DECISION TRANSFORMER,cartpole,710,9.3
DECISION TRANSFORMER,cartpole,720,9.3
DECISION TRANSFORMER,cartpole,730,9.8
DECISION TRANSFORMER,cartpole,740,9.5
